phase,window_s,mode,method,cluster_id,n_members,n_cheaters,cheater_rate,fisher_p,latency_median,is_high_risk,member_ids
T2_post,2,pooled,hdbscan,0,13,11,0.8461538461538461,0.016794814424839835,13.650000000000006,True,198;206;212;251;275;284;308;309;310;361;373;388;413
T2_post,2,pooled,hdbscan,1,11,8,0.7272727272727273,0.20779045042649286,12.700000000000003,False,224;229;253;256;322;355;401;403;411;440;86
T2_post,2,pooled,hdbscan,2,60,25,0.4166666666666667,0.020421174738859807,11.9525,False,4;39;61;69;90;91;93;96;110;112;158;160;165;166;176;210;221;227;230;232;234;235;237;241;259;265;286;307;313;320;323;325;328;334;340;348;350;362;370;375;377;378;380;381;384;393;396;398;405;408;415;421;431;432;444;445;464;468;469;14
T2_post,2,pooled,kmeans_k4,0,24,11,0.4583333333333333,0.49691275415050373,9.627499999999998,False,4;30;61;103;150;166;223;237;241;307;320;340;350;357;370;371;375;378;380;381;405;421;444;471
T2_post,2,pooled,kmeans_k4,1,37,15,0.40540540540540543,0.10527997950268704,10.865999999999984,False,39;69;76;90;91;96;110;112;158;165;176;190;210;221;227;230;232;259;286;313;323;325;334;354;362;377;384;396;398;415;427;431;432;442;463;464;468
T2_post,2,pooled,kmeans_k4,2,21,14,0.6666666666666666,0.15478237227676436,14.783500000000004,False,6;93;183;198;206;212;235;251;275;278;284;308;309;310;343;361;373;388;402;413;445
T2_post,2,pooled,kmeans_k4,3,27,17,0.6296296296296297,0.2673560497891015,13.550000000000011,False,40;73;160;189;224;229;234;248;253;256;265;321;322;328;329;348;355;393;401;403;408;411;416;440;469;14;86
T2_post,5,pooled,hdbscan,-1,89,49,0.550561797752809,1.0,12.844499999999996,False,4;30;39;40;61;69;73;76;91;93;96;110;112;150;158;166;183;189;190;198;206;210;212;221;223;224;229;230;232;234;235;237;248;251;253;256;259;265;275;278;284;286;307;308;309;310;320;321;322;323;325;329;340;343;348;350;354;355;361;362;375;377;378;380;381;384;388;396;398;402;403;405;408;411;413;415;421;427;431;432;442;444;445;463;464;468;469;471;86
T2_post,5,pooled,kmeans_k3,0,33,17,0.5151515151515151,0.6625614780700264,11.067000000000007,False,61;76;93;96;183;223;229;230;232;235;251;253;256;284;286;310;320;323;340;343;354;377;388;396;402;403;413;415;432;444;463;468;471
T2_post,5,pooled,kmeans_k3,1,29,17,0.5862068965517241,0.6574840240846057,16.783500000000004,False,4;30;110;112;150;166;189;206;212;248;259;265;278;308;309;321;322;329;350;361;375;378;380;384;398;405;408;421;445
T2_post,5,pooled,kmeans_k3,2,27,15,0.5555555555555556,1.0,13.334000000000003,False,39;40;69;73;91;158;190;198;210;221;224;234;237;275;307;325;348;355;362;381;411;427;431;442;464;469;86
T2_post,10,pooled,hdbscan,-1,33,21,0.6363636363636364,1.0,12.844499999999996,False,4;30;39;69;73;76;158;198;221;223;224;234;235;248;253;256;259;265;278;308;309;323;340;350;378;380;384;415;427;431;432;444;471
T2_post,10,pooled,kmeans_k2,0,20,11,0.55,0.2775184988151086,16.427499999999995,False,4;30;39;69;73;76;223;234;235;248;265;278;340;350;378;380;415;427;431;444
T2_post,10,pooled,kmeans_k2,1,13,10,0.7692307692307693,0.2775184988151086,12.591999999999999,False,158;198;221;224;253;256;259;308;309;323;384;432;471
T2_pre,2,pooled,hdbscan,-1,18,9,0.5,1.0,11.550000000000011,False,6;40;73;103;223;230;275;278;362;373;375;391;393;411;416;427;431;444
T2_pre,2,pooled,hdbscan,0,8,6,0.75,0.2715620181215629,9.6085,False,183;310;334;378;381;403;442;86
